volume,date,MW_Prediction
523246.0,2020-09-12,567957.56
502239.0,2020-09-13,564270.94
621888.0,2020-09-14,642263.9
658309.0,2020-09-15,642263.9
639624.0,2020-09-16,642263.9
625278.0,2020-09-17,642263.9
600898.0,2020-09-18,642263.9
539347.0,2020-09-19,573993.94
556794.0,2020-09-20,573321.9
641532.0,2020-09-21,647583.8
642179.0,2020-09-22,647583.8
680900.0,2020-09-23,647583.8
662795.0,2020-09-24,647583.8
605540.0,2020-09-25,647583.8
569923.0,2020-09-26,579313.94
595792.0,2020-09-27,578641.9
700202.0,2020-09-28,653942.25
688642.0,2020-09-29,653942.25
685718.0,2020-09-30,653942.25
694500.0,2020-10-01,653942.25
689926.0,2020-10-02,653942.25
646402.0,2020-10-03,589919.94
635723.0,2020-10-04,589247.9
703586.0,2020-10-05,674487.3
687696.0,2020-10-06,674487.3
674622.0,2020-10-07,674487.3
704310.0,2020-10-08,674487.3
679776.0,2020-10-09,674487.3
630998.0,2020-10-10,603935.1
628908.0,2020-10-11,603263.06
748222.0,2020-10-12,695659.06
724568.0,2020-10-13,695659.06
713105.0,2020-10-14,695659.06
733732.0,2020-10-15,695659.06
741577.0,2020-10-16,695659.06
678394.0,2020-10-17,624089.1
676517.0,2020-10-18,623417.06
701140.0,2020-10-19,695659.06
696108.0,2020-10-20,695659.06
741837.0,2020-10-21,695659.06
710478.0,2020-10-22,695659.06
713222.0,2020-10-23,695659.06
634932.0,2020-10-24,624089.1
630797.0,2020-10-25,623417.06
700784.0,2020-10-26,718012.0
740059.0,2020-10-27,718012.0
716863.0,2020-10-28,729397.75
732716.0,2020-10-29,735944.8
707998.0,2020-10-30,735944.8
605294.0,2020-10-31,671040.25
598740.0,2020-11-01,670368.2
676158.0,2020-11-02,753920.7
757287.0,2020-11-03,753920.7
780267.0,2020-11-04,753920.7
778546.0,2020-11-05,753920.7
757290.0,2020-11-06,753920.7
696969.0,2020-11-07,703765.06
690296.0,2020-11-08,703093.0
749779.0,2020-11-09,753920.7
739758.0,2020-11-10,753920.7
699069.0,2020-11-11,753920.7
690582.0,2020-11-12,753920.7
689457.0,2020-11-13,753920.7
640153.0,2020-11-14,703765.06
618153.0,2020-11-15,703093.0
702402.0,2020-11-16,763320.6
693300.0,2020-11-17,763320.6
683265.0,2020-11-18,779683.94
748464.0,2020-11-19,779683.94
758517.0,2020-11-20,776599.3
639738.0,2020-11-21,718566.0
668191.0,2020-11-22,717893.94
755149.0,2020-11-23,779683.94
730170.0,2020-11-24,779683.94
792775.0,2020-11-25,779683.94
